SKU,LEAD_TIMES,MANUFACTURING_COSTS,CUSTOMER_NAME,CUSTOMER_CITY,CUSTOMER_COUNTRY,TRANSP_MODE,SOLD_QTY,PRICE,REVENUE,FREIGHT,STOCK_QTY,REPOSITION,MONTH,YEAR,SKU_LABEL,CUSTOMER_NAME_LABEL,CUSTOMER_CITY_LABEL,CUSTOMER_COUNTRY_LABEL,TRANSP_MODE_LABEL
19910.703183275666,15,6.56,20080.45821837003,20080.45821837003,23150.913151364763,23280.574879227053,4810.0,8.2,19721.0,394.42,1200.0,0,1,2020,SKU28,CUSTOMER_06,Santana de Parnaíba,Brasil,Rodoviário
20184.544997860427,5,3.84,20184.544997860427,8464.781715291463,23150.913151364763,23280.574879227053,914.0,4.8,2193.6,109.68,2000.0,0,1,2020,SKU29,CUSTOMER_07,Barueri,Brasil,Rodoviário
6296.075786750511,11,1045.66,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,648.0,1307.08,282327.36,5646.55,1035.0,60,1,2020,SKU16,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
23906.899857283322,22,1144.04,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,400.0,1430.05,114404.0,2288.08,8380.0,60,1,2020,SKU15,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
7625.196762063673,27,214.82,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,200.0,268.52,53704.0,1074.08,12.0,60,2,2020,SKU14,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
6296.075786750511,16,2776.41,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,1944.0,3470.51,843335.76,16866.72,2760.0,60,2,2020,SKU16,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
19058.336999871895,10,4.3,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,66960.0,5.38,359967.2,44275.97,13.0,45,2,2020,SKU22,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
23906.899857283322,25,69.69,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,8400.0,87.11,731764.0,90006.97,25140.0,60,2,2020,SKU15,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
19058.336999871895,27,9.35,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,63648.0,11.69,743969.84,91508.29,16.0,45,3,2020,SKU22,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
13162.844727314232,18,16.98,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,41760.0,21.23,886394.72,109026.55,15680.0,60,3,2020,SKU17,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
19910.703183275666,9,8.96,20236.588387605625,20236.588387605625,23150.913151364763,23280.574879227053,24850.0,11.2,69580.0,2087.4,2400.0,0,3,2020,SKU28,CUSTOMER_05,Hortolândia,Brasil,Rodoviário
7625.196762063673,24,960.01,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,1280.0,1200.01,382709.6,7654.19,48.0,60,3,2020,SKU14,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
6296.075786750511,9,1956.46,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,1843.0,2445.58,948402.34,18968.05,1725.0,60,3,2020,SKU16,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
23906.899857283322,17,1.8,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,20280.0,2.25,45719.6,5623.51,25140.0,60,3,2020,SKU15,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
7625.196762063673,17,526.43,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,480.0,658.04,156579.2,3131.58,24.0,60,4,2020,SKU14,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
19058.336999871895,13,41.08,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,12024.0,51.35,617414.96,75942.04,5.0,45,4,2020,SKU22,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
23906.899857283322,26,109.28,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,6400.0,136.6,874256.0,107533.49,25140.0,60,4,2020,SKU15,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
13162.844727314232,5,92.4,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,6672.0,115.5,770631.2,94787.64,9800.0,60,4,2020,SKU17,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
6296.075786750511,15,945.87,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,360.0,1182.34,211999.68,4239.99,690.0,60,5,2020,SKU16,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
7625.196762063673,9,545.47,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,640.0,681.84,220646.4,4412.93,24.0,60,5,2020,SKU14,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
17606.6362525724,1,554.81,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,160.0,693.51,110961.6,2219.23,14.0,60,5,2020,SKU18,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
19058.336999871895,23,211.79,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,290.0,264.74,76774.6,1535.49,1.0,45,5,2020,SKU22,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
13162.844727314232,16,1940.0,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,192.0,2425.0,116400.0,2328.0,1960.0,60,6,2020,SKU17,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
31188.121689386255,18,245.41,15840.516002071054,8464.781715291463,23150.913151364763,23280.574879227053,2400.0,306.76,736232.0,90556.54,17860.0,60,6,2020,SKU21,CUSTOMER_01,Barueri,Brasil,Rodoviário
6480.820131586234,27,1327.99,15840.516002071054,22188.80474917698,23150.913151364763,23280.574879227053,128.0,1659.99,104435.8,3133.07,4880.0,60,6,2020,SKU20,CUSTOMER_01,Serra,Brasil,Rodoviário
7625.196762063673,8,261.35,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,80.0,326.69,26135.2,522.7,12.0,60,6,2020,SKU14,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
23906.899857283322,14,1446.32,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,1600.0,1807.9,578528.0,11570.56,8380.0,60,6,2020,SKU15,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
23906.899857283322,2,35.44,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,21200.0,44.29,939044.0,115502.41,25140.0,60,7,2020,SKU15,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
7625.196762063673,1,281.21,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,1600.0,351.51,562416.0,11248.32,12.0,60,7,2020,SKU14,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
31188.121689386255,23,21.6,15840.516002071054,22188.80474917698,23150.913151364763,23280.574879227053,16740.0,27.0,452049.0,55602.03,53580.0,60,7,2020,SKU21,CUSTOMER_01,Serra,Brasil,Rodoviário
13162.844727314232,27,13.04,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,82656.0,16.3,1347185.12,165703.77,13720.0,60,7,2020,SKU17,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
31188.121689386255,1,25.18,15840.516002071054,8464.781715291463,23150.913151364763,23280.574879227053,7335.0,31.48,230913.9,28402.41,44650.0,60,7,2020,SKU21,CUSTOMER_01,Barueri,Brasil,Rodoviário
6296.075786750511,5,161.29,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,4512.0,201.62,909703.68,111893.55,1380.0,60,7,2020,SKU16,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
6480.820131586234,15,691.96,15840.516002071054,22188.80474917698,23150.913151364763,23280.574879227053,360.0,864.95,311382.0,9341.46,2440.0,60,7,2020,SKU20,CUSTOMER_01,Serra,Brasil,Rodoviário
6480.820131586234,17,709.41,15840.516002071054,8464.781715291463,23150.913151364763,23280.574879227053,380.0,886.76,336968.8,16848.44,2440.0,60,7,2020,SKU20,CUSTOMER_01,Barueri,Brasil,Rodoviário
6480.820131586234,13,706.13,15840.516002071054,8464.781715291463,23150.913151364763,23280.574879227053,500.0,882.66,441330.0,22066.5,2440.0,60,8,2020,SKU20,CUSTOMER_01,Barueri,Brasil,Rodoviário
6480.820131586234,17,525.14,15840.516002071054,22188.80474917698,23150.913151364763,23280.574879227053,1320.0,656.42,866480.4,106577.09,4880.0,60,8,2020,SKU20,CUSTOMER_01,Serra,Brasil,Rodoviário
17606.6362525724,18,552.7,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,40.0,690.88,27635.2,552.7,14.0,60,8,2020,SKU18,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
6296.075786750511,26,1239.13,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,792.0,1548.91,411539.28,8230.79,1035.0,60,8,2020,SKU16,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
23906.899857283322,19,54.03,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,11200.0,67.54,756428.0,93040.64,25140.0,60,8,2020,SKU15,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
31188.121689386255,18,63.48,15840.516002071054,22188.80474917698,23150.913151364763,23280.574879227053,23580.0,79.35,1871022.4,230135.76,44650.0,60,8,2020,SKU21,CUSTOMER_01,Serra,Brasil,Rodoviário
13162.844727314232,23,11.36,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,14016.0,14.2,198996.64,24476.59,11760.0,60,8,2020,SKU17,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
6296.075786750511,17,422.22,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,192.0,527.78,101333.76,2026.68,345.0,60,9,2020,SKU16,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
31188.121689386255,18,356.72,15840.516002071054,8464.781715291463,23150.913151364763,23280.574879227053,1560.0,445.9,695602.8,85559.14,17860.0,60,9,2020,SKU21,CUSTOMER_01,Barueri,Brasil,Rodoviário
31188.121689386255,5,28.72,15840.516002071054,22188.80474917698,23150.913151364763,23280.574879227053,23280.0,35.9,835708.0,102792.08,53580.0,60,9,2020,SKU21,CUSTOMER_01,Serra,Brasil,Rodoviário
6480.820131586234,10,217.06,15840.516002071054,22188.80474917698,23150.913151364763,23280.574879227053,2900.0,271.33,786844.0,96781.81,14640.0,60,9,2020,SKU20,CUSTOMER_01,Serra,Brasil,Rodoviário
23906.899857283322,1,131.17,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,5200.0,163.96,852596.0,104869.31,16760.0,60,9,2020,SKU15,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
17606.6362525724,22,1653.62,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,200.0,2067.02,138040.0,2760.8,42.0,60,9,2020,SKU18,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
13162.844727314232,2,16.73,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,31904.0,20.92,667307.04,82078.77,11760.0,60,9,2020,SKU17,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
6480.820131586234,17,2023.68,15840.516002071054,8464.781715291463,23150.913151364763,23280.574879227053,800.0,2529.6,674560.0,33728.0,7320.0,60,9,2020,SKU20,CUSTOMER_01,Barueri,Brasil,Rodoviário
13162.844727314232,19,2.83,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,23232.0,3.54,82219.04,10112.94,17640.0,60,10,2020,SKU17,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
31188.121689386255,22,84.94,15840.516002071054,8464.781715291463,23150.913151364763,23280.574879227053,6180.0,106.18,656199.4,80712.53,26790.0,60,10,2020,SKU21,CUSTOMER_01,Barueri,Brasil,Rodoviário
7625.196762063673,12,259.52,9452.02038958798,9452.02038958798,23150.913151364763,23280.574879227053,2880.0,324.4,934285.6,114917.13,48.0,60,10,2020,SKU14,CUSTOMER_02,Sorocaba,Brasil,Rodoviário
